episode_title,rating,number_of_votes,season,episode,is_multi_part_episode
Stupid Spoiled Whore Video Playset,8.6,1380,8,12,FALSE
Cartman's Incredible Gift,8.6,1255,8,13,FALSE
Woodland Critter Christmas,9.1,2194,8,14,FALSE
Mr. Garrison's Fancy New Vagina,7.8,1220,9,1,FALSE
"Die Hippie, Die",8.8,1501,9,2,FALSE
Wing,7.5,1100,9,3,FALSE
Best Friends Forever,8.7,1324,9,4,FALSE
The Losing Edge,8.7,1353,9,5,FALSE
The Death of Eric Cartman,9.1,1776,9,6,FALSE
Erection Day,7.7,1115,9,7,FALSE
Two Days Before the Day After Tomorrow,8.6,1341,9,8,FALSE
Marjorine,8.7,1348,9,9,FALSE
Follow That Egg,8,1058,9,10,FALSE
Ginger Kids,8.8,1476,9,11,FALSE
Trapped in the Closet,9.2,2414,9,12,FALSE
Free Willzyx,8.2,1230,9,13,FALSE
Bloody Mary,7.9,1156,9,14,FALSE
The Return of Chef,8.2,1413,10,1,FALSE
Smug Alert!,8.2,1275,10,2,FALSE
Cartoon Wars: Part 1,8.7,1558,10,3,TRUE
Cartoon Wars: Part 2,8.8,1498,10,4,TRUE
A Million Little Fibers,6.3,1622,10,5,FALSE
ManBearPig,8,1534,10,6,FALSE
Tsst,9,1848,10,7,FALSE
"Make Love, Not Warcraft",9.6,4138,10,8,FALSE
Mystery of the Urinal Deuce,8.3,1351,10,9,FALSE
Miss Teacher Bangs a Boy,8.5,1432,10,10,FALSE
Hell on Earth 2006,8.1,1251,10,11,FALSE
Go God Go,8.7,1439,10,12,TRUE
Go God Go XII,8.7,1377,10,13,TRUE
Stanley's Cup,7.4,1543,10,14,FALSE
With Apologies to Jesse Jackson,8.8,1872,11,1,FALSE
Cartman Sucks,8.9,1733,11,2,FALSE
Lice Capades,8.1,1399,11,3,FALSE
The Snuke,8.4,1466,11,4,FALSE
Fantastic Easter Special,8.4,1350,11,5,FALSE
D-Yikes!,8,1399,11,6,FALSE
Night of the Living Homeless,8.8,1729,11,7,FALSE
Le Petit Tourette,8.9,1766,11,8,FALSE
More Crap,7.9,1473,11,9,FALSE
Imaginationland,9.1,2277,11,10,TRUE
Imaginationland: Episode II,9,1841,11,11,TRUE
Imaginationland: Episode III,9,1833,11,12,TRUE
Guitar Queer-o,8.4,1558,11,13,FALSE
The List,8.5,1399,11,14,FALSE
Tonsil Trouble,7.9,1397,12,1,FALSE
Britney's New Look,7,1515,12,2,FALSE
Major Boobage,8.7,1803,12,3,FALSE
Canada on Strike,8,1358,12,4,FALSE
"Eek, a Penis!",7.7,1224,12,5,FALSE
Over Logging,8.6,1505,12,6,FALSE
Super Fun Time,8.3,1276,12,7,FALSE
The China Probrem,7.9,1428,12,8,FALSE
Breast Cancer Show Ever,8.6,1369,12,9,FALSE
Pandemic,8.1,1124,12,10,TRUE
Pandemic 2: The Startling,7.9,1098,12,11,TRUE
About Last Night...,7.9,1181,12,12,FALSE
Elementary School Musical,7.8,1104,12,13,FALSE
The Ungroundable,7.9,1100,12,14,FALSE
The Ring,8.3,1419,13,1,FALSE
The Coon,8.4,1425,13,2,FALSE
Margaritaville,8.6,1397,13,3,FALSE
"Eat, Pray, Queef",6.5,1287,13,4,FALSE
Fishsticks,8.8,1795,13,5,FALSE
Pinewood Derby,7.9,1142,13,6,FALSE
Fatbeard,8.2,1227,13,7,FALSE
Dead Celebrities,7.9,1123,13,8,FALSE
Butters' Bottom Bitch,8.7,1404,13,9,FALSE
W.T.F.,8.2,1116,13,10,FALSE
Whale Whores,8.3,1168,13,11,FALSE
The F Word,8.1,1095,13,12,FALSE
Dances with Smurfs,8.2,1029,13,13,FALSE
Pee,7.7,1013,13,14,FALSE
Sexual Healing,7.6,1159,14,1,FALSE
The Tale of Scrotie McBoogerballs,8,1179,14,2,FALSE
Medicinal Fried Chicken,8.7,1498,14,3,FALSE
You Have 0 Friends,8.8,1612,14,4,FALSE
200,8.8,1317,14,5,TRUE
201,8.7,1104,14,6,TRUE
Crippled Summer,6.9,1185,14,7,FALSE
Poor and Stupid,7.6,1028,14,8,FALSE
It's a Jersey Thing,8.1,1136,14,9,FALSE
Insheeption,8.1,1108,14,10,FALSE
Coon 2: Hindsight,8.1,961,14,11,TRUE
Mysterion Rises,8.3,1008,14,12,TRUE
Coon vs. Coon and Friends,8.3,938,14,13,TRUE
Crê‘me Fraiche,8.1,1070,14,14,FALSE
HUMANCENTiPAD,7.7,1493,15,1,FALSE
Funnybot,6.3,1185,15,2,FALSE
Royal Pudding,6.8,1159,15,3,FALSE
T.M.I.,8,1051,15,4,FALSE
Crack Baby Athletic Association,7.4,1005,15,5,FALSE
City Sushi,7.9,1120,15,6,FALSE
You're Getting Old,8.5,1490,15,7,TRUE
Ass Burgers,8,1117,15,8,TRUE
The Last of the Meheecans,8,1008,15,9,FALSE
Bass to Mouth,7.5,920,15,10,FALSE
Broadway Bro Down,7.9,937,15,11,FALSE
1%,7.8,904,15,12,FALSE
A History Channel Thanksgiving,7.3,902,15,13,FALSE
The Poor Kid,7.9,856,15,14,FALSE
Reverse Cowgirl,7.8,1187,16,1,FALSE
Cash for Gold,7.9,1064,16,2,FALSE
Faith Hilling,7.2,1050,16,3,FALSE
Jewpacabra,6.6,994,16,4,FALSE
Butterballs,7.6,977,16,5,FALSE
I Should Have Never Gone Ziplining,6.6,1265,16,6,FALSE
Cartman Finds Love,8.1,1075,16,7,FALSE
Sarcastaball,7.4,999,16,8,FALSE
Raising the Bar,8.2,1022,16,9,FALSE
Insecurity,8.3,1004,16,10,FALSE
Going Native,6.5,859,16,11,FALSE
A Nightmare on Facetime,8.3,963,16,12,FALSE
A Scause for Applause,7.3,789,16,13,FALSE
Obama Wins!,7.5,852,16,14,FALSE
"Let Go, Let Gov",7.5,1102,17,1,FALSE
Informative Murder Porn,8,1091,17,2,FALSE
World War Zimmerman,7.8,1152,17,3,FALSE
Goth Kids 3: Dawn of the Posers,6.9,973,17,4,FALSE
Taming Strange,7.3,856,17,5,FALSE
Ginger Cow,7.8,957,17,6,FALSE
Black Friday,8.9,1560,17,7,TRUE
A Song of Ass and Fire,8.8,1294,17,8,TRUE
Titties and Dragons,8.8,1159,17,9,TRUE
The Hobbit,8.5,1102,17,10,FALSE
Go Fund Yourself,7.8,1298,18,1,FALSE
Gluten Free Ebola,7.8,1124,18,2,FALSE
The Cissy,8.6,1387,18,3,FALSE
Handicar,7.3,1033,18,4,FALSE
The Magic Bush,8.1,966,18,5,FALSE
Freemium Isn't Free,8.3,1044,18,6,FALSE
Grounded Vindaloop,9.2,2004,18,7,FALSE
C... Magic,8.4,1046,18,8,FALSE
#REHASH,7.6,866,18,9,TRUE
#HappyHolograms,6.9,926,18,10,TRUE
Stunning and Brave,7.7,1402,19,1,
Where My Country Gone?,8.3,1229,19,2,
The City Part of Town,7.5,1014,19,3,
You're Not Yelping,8.1,990,19,4,
Safe Space,8.6,1149,19,5,
Tweek x Craig,8.1,1070,19,6,
Naughty Ninjas,8.5,860,19,7,
Sponsored Content,9.1,1219,19,8,
Truth and Advertising,8.3,693,19,9,
PC Principal Final Justice,8,634,19,10,
